time,timestep,iteration,converged,density_error
0.150943,0.000897381,2,1,0.000223229
0.151415,0.000899176,2,1,0.00022703
0.151887,0.000900974,2,1,0.000229938
0.152358,0.000902776,2,1,0.00023478
0.15283,0.000904582,2,1,0.00024564
0.153302,0.000906391,2,1,0.000249733
0.153774,0.000908204,2,1,0.000251937
0.154245,0.00091002,2,1,0.00025771
0.154717,0.00091184,2,1,0.000255502
0.155189,0.000913664,2,1,0.000253044
0.15566,0.000915491,2,1,0.00025424
0.156132,0.000917322,2,1,0.000259172
0.156604,0.000919157,2,1,0.000262698
0.157075,0.000920995,2,1,0.000271703
0.157547,0.000922837,2,1,0.000276115
0.158019,0.000924683,2,1,0.000280465
0.158491,0.000926532,2,1,0.000283807
0.158962,0.000928385,2,1,0.000288367
0.159434,0.000930242,2,1,0.000291263
0.159906,0.000932103,2,1,0.000287527
0.160377,0.000933967,2,1,0.00028684
0.160849,0.000935835,2,1,0.000288648
0.161321,0.000937706,2,1,0.000282621
0.161792,0.000939582,2,1,0.000277265
0.162264,0.000941461,2,1,0.000272174
0.162736,0.000943344,2,1,0.00027197
0.163208,0.000945231,2,1,0.000272415
0.163679,0.000947121,2,1,0.000270067
0.164151,0.000949015,2,1,0.000279681
0.164623,0.000950913,2,1,0.000290476
0.165094,0.000952815,2,1,0.000293309
0.165566,0.000954721,2,1,0.0003115
0.166038,0.00095663,2,1,0.000309338
0.166509,0.000958543,2,1,0.000318361
0.166981,0.000960461,2,1,0.000346312
0.167453,0.000962381,2,1,0.000357323
0.167925,0.000964306,2,1,0.000365154
0.168396,0.000966235,2,1,0.000365994
0.168868,0.000968167,2,1,0.000361534
0.16934,0.000970104,2,1,0.000355965
0.169811,0.000972044,2,1,0.000357908
0.170283,0.000973988,2,1,0.0003482
0.170755,0.000975936,2,1,0.000345836
0.171226,0.000977888,2,1,0.000340813
0.171698,0.000979844,2,1,0.000332912
0.17217,0.000981803,2,1,0.000325358
0.172642,0.000983767,2,1,0.000328691
0.173113,0.000985734,2,1,0.000322127
0.173585,0.000987706,2,1,0.000317957
0.174057,0.000989681,2,1,0.000312319
0.174528,0.000991661,2,1,0.000310571
0.175,0.000993644,2,1,0.000303265
0.175472,0.000995631,2,1,0.000299277
0.175943,0.000997623,2,1,0.000288759
0.176415,0.000999618,2,1,0.000286686
0.176887,0.00100162,2,1,0.000289013
0.177358,0.00100362,2,1,0.0003065
0.17783,0.00100563,2,1,0.000322189
0.178302,0.00100764,2,1,0.000335314
0.178774,0.00100965,2,1,0.000348547
0.179245,0.00101167,2,1,0.000354111
0.179717,0.0010137,2,1,0.000364793
0.180189,0.00101572,2,1,0.000367828
0.18066,0.00101776,2,1,0.000368497
0.181132,0.00101979,2,1,0.000372763
0.181604,0.00102183,2,1,0.000374215
0.182075,0.00102387,2,1,0.000375946
0.182547,0.00102592,2,1,0.00036681
0.183019,0.00102797,2,1,0.000376489
0.183491,0.00103003,2,1,0.000374386
0.183962,0.00103209,2,1,0.000376083
0.184434,0.00103415,2,1,0.000378247
